source,fy,month_label,rows,value,entities,breadth
secondary_register_line,2021-22,Apr-21,8559,62279795.22,1015,14
secondary_register_line,2021-22,Aug-21,14513,100425690.6775,1482,15
secondary_register_line,2021-22,Dec-21,16300,130919824.74,1565,17
secondary_register_line,2021-22,Feb-22,14393,110925192.20,1391,17
secondary_register_line,2021-22,Jan-22,14335,103787257.96,1407,19
secondary_register_line,2021-22,Jul-21,15137,104341193.191,1470,14
secondary_register_line,2021-22,Jun-21,12266,92363630.589,1157,15
secondary_register_line,2021-22,Mar-22,16760,158383217.624,1515,18
secondary_register_line,2021-22,May-21,4122,36419028.732,402,15
secondary_register_line,2021-22,Nov-21,14737,104693797.73,1412,17
secondary_register_line,2021-22,Oct-21,13182,99379856.420,1295,15
secondary_register_line,2021-22,Sep-21,15178,107485800.76,1504,16
secondary_register_line,2022-23,Apr-22,13008,94895280.26,1292,16
secondary_register_line,2022-23,Aug-22,19283,129594831.12,1900,18
secondary_register_line,2022-23,Dec-22,21571,152583688.00,1927,19
secondary_register_line,2022-23,Feb-23,18108,132111479.39,1682,19
secondary_register_line,2022-23,Jan-23,17746,121656143.32,1765,18
secondary_register_line,2022-23,Jul-22,16277,110702557.68,1615,18
secondary_register_line,2022-23,Jun-22,17743,121937305.77,1694,17
secondary_register_line,2022-23,Mar-23,24501,202835421.15,1806,18
secondary_register_line,2022-23,May-22,16315,119983199.21,1553,18
secondary_register_line,2022-23,Nov-22,20805,135596888.58,1957,18
secondary_register_line,2022-23,Oct-22,15811,101880278.37,1629,18
secondary_register_line,2022-23,Sep-22,19653,132150065.41,1928,17
secondary_register_line,2023-24,Apr-23,20327,127140018.34,1987,22
secondary_register_line,2023-24,Aug-23,19748,121944700,2139,20
secondary_register_line,2023-24,Dec-23,23639,150371652,2270,20
secondary_register_line,2023-24,Feb-24,22950,145134013,2088,21
secondary_register_line,2023-24,Jan-24,24216,153157329,2294,21
secondary_register_line,2023-24,Jul-23,19665,130167041,1960,20
secondary_register_line,2023-24,Jun-23,19551,125235526,2009,21
secondary_register_line,2023-24,Mar-24,28582,211628033,2444,20
secondary_register_line,2023-24,May-23,19163,124531256,1867,21
secondary_register_line,2023-24,Nov-23,20748,127704535,2088,20
secondary_register_line,2023-24,Oct-23,20568,122789370,2076,21
secondary_register_line,2023-24,Sep-23,22383,138853823,2205,20
secondary_register_line,2024-25,Apr-24,20696,125137523,2330,20
secondary_register_line,2024-25,Aug-24,27872,181924775,2744,20
secondary_register_line,2024-25,Dec-24,32122,206649957,3077,21
secondary_register_line,2024-25,Feb-25,25933,164112457,2608,20
secondary_register_line,2024-25,Jan-25,28175,170023088,2877,20
secondary_register_line,2024-25,Jul-24,24795,156530319,2556,19
secondary_register_line,2024-25,Jun-24,27017,185794835,2570,21
secondary_register_line,2024-25,Mar-25,33667,244191459,2969,21
secondary_register_line,2024-25,May-24,27344,171250679,2574,19
secondary_register_line,2024-25,Nov-24,31106,195314717,2968,20
secondary_register_line,2024-25,Oct-24,28330,174946342,2819,21
secondary_register_line,2024-25,Sep-24,28199,184135105,2736,19
secondary_register_line,2025-26,Apr-25,23594,132599906,2499,21
secondary_register_line,2025-26,Aug-25,32362,192832693,2963,21
secondary_register_line,2025-26,Dec-25,37715,224478299,3189,22
secondary_register_line,2025-26,Feb-26,27935,171115542,2643,22
secondary_register_line,2025-26,Jan-26,30266,185015066,2718,23
secondary_register_line,2025-26,Jul-25,32024,186035004,3037,21
secondary_register_line,2025-26,Jun-25,31507,194123967,2810,22
secondary_register_line,2025-26,Mar-26,33696,245333268,2792,22
secondary_register_line,2025-26,May-25,30890,189741909,3043,21
secondary_register_line,2025-26,Nov-25,32261,186235979,2971,22
secondary_register_line,2025-26,Oct-25,31783,195870625,2838,22
secondary_register_line,2025-26,Sep-25,35406,207531611,3113,21
secondary_register_line,2026-27,Jul-26,34147,223436806,3227,22
