Party Type,Party ID,Party Name,Team Member,State Head,Channel Type,Assigned Distributor,Source File
DISTRIBUTOR,DIST#41246,Goyal Sanitation,Brinder Singh,Sulinder Pal,Distributor,,Brinder Singh
DISTRIBUTOR,DIST#77841,Punjab sanitary & h/s,Brinder Singh,Sulinder Pal,Distributor,,Brinder Singh
DISTRIBUTOR,DIST#42445,Shri tirupati trading company,Brinder Singh,Sulinder Pal,Distributor,,Brinder Singh
DISTRIBUTOR,DIST#60797,Vohra sanitary & Hardware Store,Brinder Singh,Sulinder Pal,Distributor,,Brinder Singh
DISTRIBUTOR,DIST#9234,Avirasico International,Dibyendu Saha,Sandeep Dadheech,Distributor,,Dibyendu Saha
DISTRIBUTOR,DIST#9240,ARADHYA KEDIA DISTRIBUTION HOUSE PVT. LTD. (Closed),Dibyendu Saha,Sandeep Dadheech,Distributor,,Dibyendu Saha
DISTRIBUTOR,DIST#9243,Maji Trading,Dibyendu Saha,Sandeep Dadheech,Distributor,,Dibyendu Saha
DISTRIBUTOR,DIST#9396,Das Enterprise,Dibyendu Saha,Sandeep Dadheech,Distributor,,Dibyendu Saha
DISTRIBUTOR,DIST#39596,MAHABIR SALES CORPORATION,Dibyendu Saha,Sandeep Dadheech,Distributor,,Dibyendu Saha
DISTRIBUTOR,DIST#45913,Roy Enterprise,Dibyendu Saha,Sandeep Dadheech,Distributor,,Dibyendu Saha
DISTRIBUTOR,DIST#52342,Supreme syndicate,Dibyendu Saha,Sandeep Dadheech,Distributor,,Dibyendu Saha
DISTRIBUTOR,DIST#65306,ARIHANT TILES & SANITATION,Dibyendu Saha,Sandeep Dadheech,Distributor,,Dibyendu Saha
DISTRIBUTOR,DIST#69876,INDIRA ENTERPRISE,Dibyendu Saha,Sandeep Dadheech,Distributor,,Dibyendu Saha
DISTRIBUTOR,DIST#86926,ASHISH BATH GALAXY,Dibyendu Saha,Sandeep Dadheech,Distributor,,Dibyendu Saha
DISTRIBUTOR,DIST#87061,SWASTIK IMPACT,Dibyendu Saha,Sandeep Dadheech,Distributor,,Dibyendu Saha
DISTRIBUTOR,DIST#9238,Beharilall Madanlall,Dibyendu Saha,Sandeep Dadheech,Distributor,,Dibyendu Saha
DISTRIBUTOR,DIST#9253,Unique Pipe & Sanitation,Dibyendu Saha,Sandeep Dadheech,Distributor,,Dibyendu Saha
DISTRIBUTOR,DIST#9269,Unique Sanitaion,Dibyendu Saha,Sandeep Dadheech,Distributor,,Dibyendu Saha
DISTRIBUTOR,DIST#9502,New Bharat Pipe,Dibyendu Saha,Sandeep Dadheech,Distributor,,Dibyendu Saha
DISTRIBUTOR,DIST#9622,Santra enterprise,Dibyendu Saha,Sandeep Dadheech,Direct Dealer,,Dibyendu Saha
DISTRIBUTOR,DIST#84817,SIDHI BINAYAK ENTERPRISE,Dibyendu Saha,Sandeep Dadheech,Distributor,,Dibyendu Saha
RETAILER,RET#55725,Wazir chand and son's,Deep Kumar,Nasir Hussain Khan,Retailer,,Deep Kumar
RETAILER,RET#56007,Sainik Hardware Store,Deep Kumar,Nasir Hussain Khan,Retailer,,Deep Kumar
RETAILER,RET#56018,Siddhivinayk hardware and sanitary,Deep Kumar,Nasir Hussain Khan,Retailer,,Deep Kumar
RETAILER,RET#56461,Jcm hardware,Deep Kumar,Nasir Hussain Khan,Retailer,,Deep Kumar
RETAILER,RET#90323,Sham Hardware store,Deep Kumar,Nasir Hussain Khan,Retailer,,Deep Kumar
RETAILER,RET#91307,BHATIA BUILDERS AND CONTRACTORS,Deep Kumar,Nasir Hussain Khan,Retailer,,Deep Kumar
RETAILER,RET#28430,Sr Trading Company,Rinku,Anant Singh,Retailer,Avanti sales and agencies,Rinku
RETAILER,RET#27472,Vishnu ji And Company,Rinku,Anant Singh,Retailer,Avanti sales and agencies,Rinku
RETAILER,RET#27473,N k Traders,Rinku,Anant Singh,Retailer,Avanti sales and agencies,Rinku
RETAILER,RET#30144,PL Sanitary store,Rinku,Anant Singh,Retailer,Avanti sales and agencies,Rinku
RETAILER,RET#31913,Nasir sanitary store,Rinku,Anant Singh,Retailer,Avanti sales and agencies,Rinku
RETAILER,RET#32027,Babu sanitary,Rinku,Anant Singh,Retailer,Avanti sales and agencies,Rinku
RETAILER,RET#32247,Akriti bath and tiles,Rinku,Anant Singh,Retailer,Avanti sales and agencies,Rinku
RETAILER,RET#32402,Sonu sanitary store,Rinku,Anant Singh,Retailer,Avanti sales and agencies,Rinku
RETAILER,RET#38026,Kushagra enterprises,Rinku,Anant Singh,Retailer,Avanti sales and agencies,Rinku
RETAILER,RET#70484,Shagun treaders,Rinku,Anant Singh,Retailer,Avanti sales and agencies,Rinku
RETAILER,RET#70917,SAD TRADING COMPANY,Rinku,Anant Singh,Retailer,Avanti sales and agencies,Rinku
DISTRIBUTOR,,Avanti sales and agencies,Rinku,Anant Singh,Distributor (via retailer assignment),,Rinku
RETAILER,RET#14634,Shri balaji sanitation,Shivam Chauhan,Anant Singh,Retailer,Paras Agencies,Shivam Chauhan
RETAILER,RET#14659,NAGALIA SALES INC.,Shivam Chauhan,Anant Singh,Retailer,Paras Agencies,Shivam Chauhan
RETAILER,RET#14748,BHAGWATI AGENCIES,Shivam Chauhan,Anant Singh,Retailer,Paras Agencies,Shivam Chauhan
RETAILER,RET#14784,M/s. HIRA NAND RAM PRAKASH,Shivam Chauhan,Anant Singh,Retailer,"Orissa Traders, Liberty agencies",Shivam Chauhan
RETAILER,RET#14788,AGARWAL IRON STORE,Shivam Chauhan,Anant Singh,Retailer,Liberty agencies,Shivam Chauhan
RETAILER,RET#14797,LACCHI RAM AJAY KUMAR,Shivam Chauhan,Anant Singh,Retailer,"Orissa Traders, Liberty agencies",Shivam Chauhan
RETAILER,RET#14821,MAHESHWARI BROTHERS,Shivam Chauhan,Anant Singh,Retailer,Liberty agencies,Shivam Chauhan
RETAILER,RET#14882,BRIJ SALES CORPORATION,Shivam Chauhan,Anant Singh,Retailer,Paras Agencies,Shivam Chauhan
RETAILER,RET#14950,M/S JASWANT & SONS,Shivam Chauhan,Anant Singh,Retailer,Paras Agencies,Shivam Chauhan
RETAILER,RET#14992,CHAWLA HARDWARE PAINTS & SANITARY,Shivam Chauhan,Anant Singh,Retailer,Paras Agencies,Shivam Chauhan
DISTRIBUTOR,,Paras Agencies,Shivam Chauhan,Anant Singh,Distributor (via retailer assignment),,Shivam Chauhan
DISTRIBUTOR,,Liberty agencies,Shivam Chauhan,Anant Singh,Distributor (via retailer assignment),,Shivam Chauhan
DISTRIBUTOR,,Orissa Traders,Shivam Chauhan,Anant Singh,Distributor (via retailer assignment),,Shivam Chauhan
RETAILER,RET#23207,Fakhari sanitary and plumbing,Rajesh Patel,Aqil Rizvi,Retailer,Sewa bath solutions,Rajesh Patel
RETAILER,RET#23930,Haji Abbas bhai Hasan bhai hardware,Rajesh Patel,Aqil Rizvi,Retailer,Sewa bath solutions,Rajesh Patel
RETAILER,RET#84819,Anushree traders,Rajesh Patel,Aqil Rizvi,Retailer,Sewa bath solutions,Rajesh Patel
RETAILER,RET#87111,Noble traders,Rajesh Patel,Aqil Rizvi,Retailer,Sewa bath solutions,Rajesh Patel
RETAILER,RET#87144,Arihant electronic,Rajesh Patel,Aqil Rizvi,Retailer,Sewa bath solutions,Rajesh Patel
RETAILER,RET#88077,Shri Vinayak electronics,Rajesh Patel,Aqil Rizvi,Retailer,Sewa bath solutions,Rajesh Patel
RETAILER,RET#89588,Shri jee hardware,Rajesh Patel,Aqil Rizvi,Retailer,Sewa bath solutions,Rajesh Patel
RETAILER,RET#89610,PRAGYESH ELECTRIC AND HARDWARE,Rajesh Patel,Aqil Rizvi,Retailer,Sewa bath solutions,Rajesh Patel
RETAILER,RET#90208,Burhani hardware and machinary store,Rajesh Patel,Aqil Rizvi,Retailer,Sewa bath solutions,Rajesh Patel
RETAILER,RET#90409,Ohariya hardware,Rajesh Patel,Aqil Rizvi,Retailer,Sewa bath solutions,Rajesh Patel
DISTRIBUTOR,,Sewa bath solutions,Rajesh Patel,Aqil Rizvi,Distributor (via retailer assignment),,Rajesh Patel
RETAILER,RET#16679,Pipe & Polymers,Shafeeq Parengal,Biju C.O,Retailer,P S Corporation(Calicut),Shafeeq Parengal
RETAILER,RET#16697,Popular Trade Links,Shafeeq Parengal,Biju C.O,Retailer,"P S Corporation(Calicut), Prayag Syndicate",Shafeeq Parengal
RETAILER,RET#16706,Grand Electricals&Plumbing,Shafeeq Parengal,Biju C.O,Retailer,P S Corporation(Calicut),Shafeeq Parengal
