Segment Name,Product Code,Product Name,Feature Name,MRP,Image Link
AGRITEC,A-94A,Fittings for Agriculture 3 meters 10 KG 200MM,,8690,
AGRITEC,A-93A,Fittings for Agriculture 3 meters 10 KG 180MM,,6990,
AGRITEC,A-92A,Fittings for Agriculture 3 meters 10 KG 160MM,,5490,
AGRITEC,A-91A,Fittings for Agriculture 3 meters 10 KG 140MM,,4290,
AGRITEC,A-90A,Fittings for Agriculture 3 meters 10 KG 125MM,,3340,
AGRITEC,A-89A,Fittings for Agriculture 3 meters 10 KG 110MM,,2670,
AGRITEC,A-88A,Fittings for Agriculture 3 meters 10 KG 90MM,,1748,
AGRITEC,A-87A,Fittings for Agriculture 3 meters 10 KG 75MM,,1240,
AGRITEC,A-86A,Fittings for Agriculture 3 meters 10 KG 63MM,,892,
AGRITEC,A-85A,Fittings for Agriculture 3 meters 10 KG 50MM,,620,
AGRITEC,A-84A,Fittings for Agriculture 3 meters 10 KG 40MM,,358,
AGRITEC,A-83A,Fittings for Agriculture 3 meters 10 KG 32MM,,234,
AGRITEC,A-82A,Fittings for Agriculture 3 meters 10 KG 25MM,,147,
AGRITEC,A-81A,Fittings for Agriculture 3 meters 10 KG 20MM,,98,
AGRITEC,A-54A,Fittings for Agriculture 3 meters 6 KG 200MM,,5244,
AGRITEC,A-53A,Fittings for Agriculture 3 meters 6 KG 180MM,,4248,
AGRITEC,A-52A,Fittings for Agriculture 3 meters 6 KG 160MM,,3348,
AGRITEC,A-51A,Fittings for Agriculture 3 meters 6 KG 140MM,,2614,
AGRITEC,A-50A,Fittings for Agriculture 3 meters 6 KG 125MM,,2094,
AGRITEC,A-49A,Fittings for Agriculture 3 meters 6 KG 110MM,,1574,
AGRITEC,A-48A,Fittings for Agriculture 3 meters 6 KG 90MM,,1074,
AGRITEC,A-47A,Fittings for Agriculture 3 meters 6 KG 75MM,,764,
AGRITEC,A-46A,Fittings for Agriculture 3 meters 6 KG 63MM,,547,
AGRITEC,A-45A,Fittings for Agriculture 3 meters 6 KG 50MM,,347,
AGRITEC,A-44A,Fittings for Agriculture 3 meters 6 KG 40MM,,232,
AGRITEC,A-34A,Fittings for Agriculture 3 meters 4 KG 200MM,,3684,
AGRITEC,A-33A,Fittings for Agriculture 3 meters 4 KG 180MM,,3048,
AGRITEC,A-32A,Fittings for Agriculture 3 meters 4 KG 160MM,,2395,
AGRITEC,A-31A,Fittings for Agriculture 3 meters 4 KG 140MM,,1824,
AGRITEC,A-30A,Fittings for Agriculture 3 meters 4 KG 125MM,,1448,
AGRITEC,A-29A,Fittings for Agriculture 3 meters 4 KG 110MM,,1098,
AGRITEC,A-28A,Fittings for Agriculture 3 meters 4 KG 90MM,,748,
AGRITEC,A-27A,Fittings for Agriculture 3 meters 4 KG 75MM,,548,
AGRITEC,A-26A,Fittings for Agriculture 3 meters 4 KG 63MM,,398,
AGRITEC,A-14A,Fittings for Agriculture 3 meters 2.5 KG 200MM,,2445,
AGRITEC,A-13A,Fittings for Agriculture 3 meters 2.5 KG 180MM,,1970,
AGRITEC,A-12A,Fittings for Agriculture 3 meters 2.5 KG 160MM,,1545,
AGRITEC,A-11A,Fittings for Agriculture 3 meters 2.5 KG 140MM,,1145,
AGRITEC,A-10A,Fittings for Agriculture 3 meters 2.5 KG 125MM,,935,
AGRITEC,A-9A,Fittings for Agriculture 3 meters 2.5 KG 110MM,,740,
AGRITEC,A-8A,Fittings for Agriculture 3 meters 2.5 KG 90MM,,495,
