retailer_key,july_name,july_value,august_raw_dealer_id,august_name,august_value,august_as_pct_of_july,ratio
RET#9722,Chaibasa sanitary stores,2069776,RET#9722,CHAIBASA SANITARY STORES,236048,11.40,0.1140
RET#9539,Saif Rubber & Plastic Co,1640954,RET#9539,SAIF RUBBER & PLASTIC CO,273581,16.67,0.1667
RET#9690,Ayan Enterprise,1611944,RET#9690,AYAN ENTERPRISE,460499,28.57,0.2857
RET#79178,NANDI TRADERS,791016,RET#79178,NANDI TRADERS,205440,25.97,0.2597
RET#93816,NARSINGH SANITATION AND PAINT,757410,RET#93816,NARSINGH SANITATION AND PAINT,83250,10.99,0.1099
RET#22423,Jai mata di hardware,751927,RET#22423,JAI MATA DI HARDWARE,617986,82.19,0.8219
RET#9664,Bengal hardware,668057,RET#9664,BENGAL HARDWARE,225976,33.83,0.3383
RET#66641,Satyabhama Marble House,639998,RET#66641,SATYABHAMA MARBLE HOUSE,193629,30.25,0.3025
RET#12967,Akash Steel Industries (P) Ltd,628332,RET#12967,AKASH STEEL INDUSTRIES (P) LTD,252112,40.12,0.4012
RET#9639,Vineet Enterprise,598975,RET#9639,VINEET ENTERPRISE,212752,35.52,0.3552
RET#9625,Debu work shop,579303,RET#9625,DEBU WORK SHOP,168948,29.16,0.2916
RET#68198,GANESH PIPE STORE,548390,RET#68198,GANESH PIPE STORE,24637,4.49,0.0449
RET#21524,Shree Mahavir Hardware,542144,RET#21524,SHREE MAHAVIR HARDWARE,38490,7.10,0.0710
RET#9461,Rana Enterprise,538094,RET#9461,RANA ENTERPRISE,85034,15.80,0.1580
RET#10366,Bihar hardware,535505,RET#10366,BIHAR HARDWARE,142532,26.62,0.2662
RET#30916,L K ENTERPRISE,484096,RET#30916,L K ENTERPRISE,579413,119.69,1.1969
RET#90658,Balaji Steel,459893,RET#90658,BALAJI STEEL,156080,33.94,0.3394
RET#26859,Sri Ram Motors,449042,RET#26859,SRI  RAM MOTORS,5694,1.27,0.0127
RET#16624,Sri Ram Enterprises,438602,RET#16624,SRI RAM ENTERPRISES,347192,79.16,0.7916
RET#17420,Rajkumar Sanitary House,413312,RET#17420,RAJKUMAR SANITARY HOUSE,519456,125.68,1.2568
RET#42861,New Das Supplier,412259,RET#42861,NEW DAS SUPPLIER,264917,64.26,0.6426
RET#79907,RAJEEV ELECTRONICS,408110,RET#79907,RAJEEV ELECTRONICS,171382,41.99,0.4199
RET#9278,Satyam Sales,401291,RET#9278,SATYAM SALES,324950,80.98,0.8098
RET#11763,SRI SRINIVASA SANITARY STORES,395106,RET#11763,SRI SRINIVASA SANITARY STORES,205514,52.01,0.5201
RET#16602,S.K. Sanitary House.,383561,RET#16602,S.K. SANITARY HOUSE.,12376,3.23,0.0323
RET#22664,ROY TECNO,378659,RET#22664,ROY TECNO,77106,20.36,0.2036
RET#25897,Rana hardware,378523,RET#25897,RANA HARDWARE,344418,90.99,0.9099
RET#36753,Malviya hardware,377482,RET#36753,MALVIYA HARDWARE,6415,1.70,0.0170
RET#16518,Milind Enterprises,355644,RET#16518,MILIND ENTERPRISES,8074,2.27,0.0227
RET#10369,S.D. ELECTRIC,355014,RET#10369,S.D. ELECTRIC,103095,29.04,0.2904
RET#80293,Navrang Tiles & Sanitary,344193,RET#80293,NAVRANG TILES & SANITARY,13661,3.97,0.0397
RET#57672,REYAJ HARDWARE AND SANITARY,341070,RET#57672,REYAJ HARDWARE AND SANITARY,13362,3.92,0.0392
RET#90563,Sri maha lakshmi Ganapathi industries,333445,RET#90563,SRI MAHA LAKSHMI GANAPATHI INDUSTRIES,83970,25.18,0.2518
