line_uid,fy,invoice_no,invoice_date,month_label,customer,code,qty,sale_rate,amount,group_raw,group_canon,station,state_raw,state_canon,head_raw,head_canon,is_territory,type_raw,source,ingested_at,serial_no,sheet_confirmed_at,color,version_status,superseded_at,superseded_by,qty_ltr,channel
416b6d3a01182ae516da7672debcc22fc6ad737f,2026-27,22600626,2026-06-20T00:00:00.000Z,Jun-26,DIVEKAR MARKETING ASSOCIATES(MIRAJ),U121,25,13,329,UPVC,UPVC,MIRAJ,MAHARASTRA L,MAHARASHTRA,LALAN,Lalan Kumar,t,,sheets,2026-07-31T06:08:42.384Z,3031,2026-08-01T06:49:18.758Z,.,current,,,,Retail
d94f63d18b987bee83a4fc1edb9d4eb15c97cc87,2026-27,22600774,2026-06-30T00:00:00.000Z,Jun-26,ADINATH ENTERPRISES(PUNE),MHC-09,10,2070,20704,SANITARYWARE,Sanitaryware,PUNE,MAHARASTRA L,MAHARASHTRA,LALAN,Lalan Kumar,t,,sheets,2026-07-31T06:08:43.914Z,7674,2026-08-01T06:49:18.758Z,.,current,,,,Retail
0e15d99d40df87719a5f715c18428c69fe4a8abd,2026-27,22600774,2026-06-30T00:00:00.000Z,Jun-26,ADINATH ENTERPRISES(PUNE),MHC-06,3,945,2836,SANITARYWARE,Sanitaryware,PUNE,MAHARASTRA L,MAHARASHTRA,LALAN,Lalan Kumar,t,,sheets,2026-07-31T06:08:43.914Z,7675,2026-08-01T06:49:18.758Z,.,current,,,,Retail
c5038b7e085deb7349892531128f8272301e8479,2026-27,22600774,2026-06-30T00:00:00.000Z,Jun-26,ADINATH ENTERPRISES(PUNE),MHC-02,6,365,2191,SANITARYWARE,Sanitaryware,PUNE,MAHARASTRA L,MAHARASHTRA,LALAN,Lalan Kumar,t,,sheets,2026-07-31T06:08:43.914Z,7676,2026-08-01T06:49:18.758Z,.,current,,,,Retail
8249319c91be4b4a8a2abaee5c7478544733a62f,2026-27,22600774,2026-06-30T00:00:00.000Z,Jun-26,ADINATH ENTERPRISES(PUNE),MHC-08,10,1135,11353,SANITARYWARE,Sanitaryware,PUNE,MAHARASTRA L,MAHARASHTRA,LALAN,Lalan Kumar,t,,sheets,2026-07-31T06:08:43.914Z,7677,2026-08-01T06:49:18.758Z,.,current,,,,Retail
a532461def76c4cf1beee9deb6bdc9c6a9258850,2026-27,22600859,2026-06-30T00:00:00.000Z,Jun-26,SHREE SHYAM TRADING COMPANY,U21T,108,32,3423,UPVC,UPVC,Sangrur,PUNJAB,PUNJAB,SULINDER PAL,Sulinder Pal,t,,sheets,2026-07-31T06:08:44.495Z,10190,2026-08-01T06:49:18.758Z,.,current,,,,Retail
1c18913916ce6eb1bf824db5ed7da02f7c7f0395,2026-27,22600859,2026-06-30T00:00:00.000Z,Jun-26,SHREE SHYAM TRADING COMPANY,U22T,136,50,6671,UPVC,UPVC,Sangrur,PUNJAB,PUNJAB,SULINDER PAL,Sulinder Pal,t,,sheets,2026-07-31T06:08:44.495Z,10191,2026-08-01T06:49:18.758Z,.,current,,,,Retail
6a7bce00f8d0f7fe9e1b9d8004cf6cca344dd3d7,2026-27,22600859,2026-06-30T00:00:00.000Z,Jun-26,SHREE SHYAM TRADING COMPANY,U23T,80,91,7123,UPVC,UPVC,Sangrur,PUNJAB,PUNJAB,SULINDER PAL,Sulinder Pal,t,,sheets,2026-07-31T06:08:44.495Z,10192,2026-08-01T06:49:18.758Z,.,current,,,,Retail
ab1b464566b0dd0ba436e98b20b4b36df23f7aa2,2026-27,22600915,2026-06-30T00:00:00.000Z,Jun-26,VORA BUILDERS,MHC-06,6,945,5558,SANITARYWARE,Sanitaryware,SOLAPUR,MAHARASTRA L,MAHARASHTRA,LALAN,Lalan Kumar,t,,sheets,2026-07-31T06:08:44.839Z,12067,2026-08-01T06:49:18.758Z,.,current,,,,Retail
c457e2b8059f2bba66e7fab33ea6aed225e6f37d,2026-27,22600915,2026-06-30T00:00:00.000Z,Jun-26,VORA BUILDERS,MHC-10,2,2376,4657,SANITARYWARE,Sanitaryware,SOLAPUR,MAHARASTRA L,MAHARASHTRA,LALAN,Lalan Kumar,t,,sheets,2026-07-31T06:08:44.839Z,12068,2026-08-01T06:49:18.758Z,.,current,,,,Retail
